"STATISTIC","Statistic Label","TLIST(M1)","Month","C03788V04538","County","UNIT","VALUE"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202110","2021 October","2ae19629-1444-13a3-e055-000000000001","Co. Meath","Weeks","8"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202110","2021 October","2ae19629-1445-13a3-e055-000000000001","Co. Monaghan","Weeks","8"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202110","2021 October","2ae19629-1443-13a3-e055-000000000001","Co. Mayo","Weeks","11"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202110","2021 October","2ae19629-1446-13a3-e055-000000000001","Co. Offaly","Weeks","12"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202110","2021 October","2ae19629-1447-13a3-e055-000000000001","Co. Roscommon","Weeks","5"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202110","2021 October","2ae19629-1449-13a3-e055-000000000001","Co. Sligo","Weeks","15"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202110","2021 October","2ae19629-144a-13a3-e055-000000000001","Co. Tipperary","Weeks","7.5"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202110","2021 October","2ae19629-144b-13a3-e055-000000000001","Co. Waterford","Weeks","9.5"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202110","2021 October","2ae19629-144e-13a3-e055-000000000001","Co. Wicklow","Weeks","9"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202110","2021 October","2ae19629-144c-13a3-e055-000000000001","Co. Westmeath","Weeks","4.5"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202110","2021 October","2ae19629-144d-13a3-e055-000000000001","Co. Wexford","Weeks","8"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202111","2021 November","IE0","Ireland","Weeks","7.8"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202111","2021 November","2ae19629-1450-13a3-e055-000000000001","Co. Clare","Weeks","6"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202111","2021 November","2ae19629-1451-13a3-e055-000000000001","Co. Cork","Weeks","4.5"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202111","2021 November","2ae19629-1448-13a3-e055-000000000001","Co. Cavan","Weeks","8"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202111","2021 November","2ae19629-143d-13a3-e055-000000000001","Co. Carlow","Weeks","7"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202111","2021 November","2ae19629-1452-13a3-e055-000000000001","Co. Donegal","Weeks","11"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202111","2021 November","2ae19629-144f-13a3-e055-000000000001","Co. Dublin","Weeks","10.9"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202111","2021 November","2ae19629-1453-13a3-e055-000000000001","Co. Galway","Weeks","6.5"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202111","2021 November","2ae19629-1455-13a3-e055-000000000001","Co. Kildare","Weeks","8"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202111","2021 November","2ae19629-1456-13a3-e055-000000000001","Co. Kilkenny","Weeks","7"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202111","2021 November","2ae19629-1454-13a3-e055-000000000001","Co. Kerry","Weeks","6.5"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202111","2021 November","2ae19629-1441-13a3-e055-000000000001","Co. Longford","Weeks","15"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202111","2021 November","2ae19629-1442-13a3-e055-000000000001","Co. Louth","Weeks","13"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202111","2021 November","2ae19629-1440-13a3-e055-000000000001","Co. Limerick","Weeks","7.3"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202111","2021 November","2ae19629-143f-13a3-e055-000000000001","Co. Leitrim","Weeks","8"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202111","2021 November","2ae19629-143e-13a3-e055-000000000001","Co. Laois","Weeks","9"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202111","2021 November","2ae19629-1444-13a3-e055-000000000001","Co. Meath","Weeks","10"
